"Recommender","Recommendations"
"General","Général"
"Both Selected and Event-Based","A la fois sélectionnés et basés sur des évènements"
"Selected Only","Sélectionnés uniquement"
"Event-Based Only","Basés sur des évènements uniquement"
"Exclude from recommendations any product already bought by the visitor","Exclure des recommendations tout produit déjà acheté par le visiteur"
"Applies only to automated recommendations and not to manually selected products.","S'applique uniquement aux recommendations automatiques et non aux produits sélectionnés manuellement."
"Product bought exclusion window size as a number of days","Taille de la fenêtre d'exclusion des produits achetés en nombre de jours"
"For instance ""90"" will mean no product bought by the visitor in the past 90 days will be recommended. 0 means no time restriction at all : no product ever bought by the visitor will be recommended to him. Be careful that this setting impact is heavily dependent on the tracker ""Retention delay"" and ""Visitor Cookie Lifetime"" parameters.","Par exemple ""90"" signifiera qu'aucun produit acheté par le visiteur dans les 90 derniers jours ne lui sera recommandé. 0 signifie une absence de restriction/une exclusion totale : aucun produit acheté par le visiteur ne lui sera jamais recommandé. Attention: l'impact de ce réglage est largement dépendant des paramètres ""Retention delay"" et ""Durée de vie du cookie visiteur"" du tracking."
"Maximum Number of Products in Related Products List","Nombre maximal de produits dans la liste des produits associés"
"Show Related Products","Afficher les produits associés"
"Exclude composite (bundle, grouped, configurable) from Related Products List","Exclure les produits composites (bundle, groupé, configurable) des listes de produits associés"
"Maximum Number of Products in Cross-Sell Products List","Nombre maximal de produits dans la liste des produits de vente croisée"
"Show Cross-Sell Products","Afficher les produits de vente croisées"
"Maximum Number of Products in Upsell Products List","Nombre maximal de produits dans la liste des produits en vente incitative"
"Show Upsell Products","Afficher les produits en vente incitative"
"Force Higher Price for Upsell Products","Forcer un prix supérieur pour les produits en vente incitative"
"If set to Yes, will ensure that products automatically recommended based on past tracked events have a higher price than the base product. This has no impact on the manually configured upsell products.","Si réglé à Oui, assurera que les produits recommandés automatiquement selon les évènements de navigation antérieur auront un prix supérieur à celui du produit de base. Cela n'a aucun impact sur les produits de vente incitative configurés manuellement."
"Events co-occurrence configuration","Configuration de la co-occurence des évènements"
"Min doc count","Nombre minimal de documents"
"When gathering co-occurrence of products related events (products also viewed, added to cart, bought), in how many distinct sessions an event must occur at the minimum to be taken into account. Lowering it can be helpful on sites without much events tracking history to avoid a cold start.","Lors du calcul de co-occurence d'évènements associés à un produit (produits également consultés, ajoutés au panier, achetés), dans combien de sessions distinctes au minimum un évènement doit être présent pour être pris en compte. Baisser cette valeur peut être utile sur des sites avec un faible historique d'évènements trackés pour éviter un démarrage à froid."
